A,5.2,10.5,9.2,7,9.3,6.6,2.4,1.2
B,3.5,1.6,0.8,0.4,1.7,1.9,9.2,0.2
C,1.5,0.4,0.5,0.2,0.2,0.8,3.4,0.3
D,5.3,2.7,1.4,6.8,2.8,1.4,0.3,3
E,0.2,0.2,0.9,0.2,8.1,1.2,0.4,1.5
F,12.9,6.1,8.3,9.8,4.6,4.1,9,4.7
G,0.2,2,0.4,0.3,2.5,4.6,0.4,0.3
mock,15.8,9.5,10.4,12.2,8.6,18,12.1,11.5
