A,1,0,0,0,0,0,3,3
B,3,3,4,4,3,3,1,4
C,3,4,4,4,4,4,3,4
D,2,4,4,1,3,3,4,3
E,4,4,4,4,0,4,4,4
F,0,0,0,0,0,0,0,0
G,4,3,4,4,3,3,4,4
mock,0,0,0,0,0,0,0,0
